Nintendo Game Boy || QIX (World) || Nintendo/Nintendo Game Boy/QIX (World)/QIX (World).json
Nintendo Game Boy || Quarth (USA, Europe) || Nintendo/Nintendo Game Boy/Quarth (USA, Europe)/Quarth (USA, Europe).json
Nintendo Game Boy || Radar Mission (USA, Europe) || Nintendo/Nintendo Game Boy/Radar Mission (USA, Europe)/Radar Mission (USA, Europe).json
Nintendo Game Boy || Side Pocket (World) || Nintendo/Nintendo Game Boy/Side Pocket (World)/Side Pocket (World).json
Nintendo Game Boy || Super Mario Land (World) || Nintendo/Nintendo Game Boy/Super Mario Land (World)/Super Mario Land (World).json
Nintendo Game Boy || Super Mario Land 2 - 6 Golden Coins (USA, Europe) || Nintendo/Nintendo Game Boy/Super Mario Land 2 - 6 Golden Coins (USA, Europe)/Super Mario Land 2 - 6 Golden Coins (USA, Europe).json
Nintendo Game Boy || Sword of Hope II, The (USA) || Nintendo/Nintendo Game Boy/Sword of Hope II, The (USA)/Sword of Hope II, The (USA).json
Nintendo Game Boy || Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA) || Nintendo/Nintendo Game Boy/Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA)/Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA).json
Nintendo Game Boy || Teenage Mutant Ninja Turtles II - Back from the Sewers (USA) || Nintendo/Nintendo Game Boy/Teenage Mutant Ninja Turtles II - Back from the Sewers (USA)/Teenage Mutant Ninja Turtles II - Back from the Sewers (USA).json
Nintendo Game Boy || Teenage Mutant Ninja Turtles III - Radical Rescue (USA) || Nintendo/Nintendo Game Boy/Teenage Mutant Ninja Turtles III - Radical Rescue (USA)/Teenage Mutant Ninja Turtles III - Radical Rescue (USA).json
Nintendo Game Boy || Tetris (World) (Rev A) || Nintendo/Nintendo Game Boy/Tetris (World) (Rev A)/Tetris (World) (Rev A).json
Nintendo Game Boy || Tumble Pop (USA, Europe) || Nintendo/Nintendo Game Boy/Tumble Pop (USA, Europe)/Tumble Pop (USA, Europe).json
Nintendo Game Boy || Vampire Night Shift (USA) || Nintendo/Nintendo Game Boy/Vampire Night Shift (USA)/Vampire Night Shift (USA).json
Nintendo Game Boy || Viv and Bob (USA) || Nintendo/Nintendo Game Boy/Viv and Bob (USA)/Viv and Bob (USA).json
Nintendo Game Boy || Wario Land - Super Mario Land 3 (World) || Nintendo/Nintendo Game Boy/Wario Land - Super Mario Land 3 (World)/Wario Land - Super Mario Land 3 (World).json
Nintendo Game Boy || Wishing Sarah (USA) || Nintendo/Nintendo Game Boy/Wishing Sarah (USA)/Wishing Sarah (USA).json
