Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || Congo Bongo (World) (congo) || Other/Arcade/Congo Bongo (World) (congo)/Congo Bongo (World) (congo).json
Arcade || Crystal Castles (World) (ccastles) || Other/Arcade/Crystal Castles (World) (ccastles)/Crystal Castles (World) (ccastles).json
Arcade || Cyberball (World) (cyberbal) || Other/Arcade/Cyberball (World) (cyberbal)/Cyberball (World) (cyberbal).json
Arcade || Cyberbots - Fullmetal Madness (Europe) (cybots) || Other/Arcade/Cyberbots - Fullmetal Madness (Europe) (cybots)/Cyberbots - Fullmetal Madness (Europe) (cybots).json
Arcade || Darkstalkers - The Night Warriors (Europe) (dstlk) || Other/Arcade/Darkstalkers - The Night Warriors (Europe) (dstlk)/Darkstalkers - The Night Warriors (Europe) (dstlk).json
Arcade || Defender (World) (defender) || Other/Arcade/Defender (World) (defender)/Defender (World) (defender).json
Arcade || Destroyer (World) (destroyr) || Other/Arcade/Destroyer (World) (destroyr)/Destroyer (World) (destroyr).json
Arcade || Dig Dug (World) (digdug) || Other/Arcade/Dig Dug (World) (digdug)/Dig Dug (World) (digdug).json
Arcade || Dig Dug II (World) (digdug2) || Other/Arcade/Dig Dug II (World) (digdug2)/Dig Dug II (World) (digdug2).json
Arcade || Dominos (World) (dominos) || Other/Arcade/Dominos (World) (dominos)/Dominos (World) (dominos).json
Arcade || Dragon Buster (World) (drgnbstr) || Other/Arcade/Dragon Buster (World) (drgnbstr)/Dragon Buster (World) (drgnbstr).json
Arcade || Dynasty Wars (USA) (dynwar) || Other/Arcade/Dynasty Wars (USA) (dynwar)/Dynasty Wars (USA) (dynwar).json
Arcade || Eco Fighters (World) (ecofghtr) || Other/Arcade/Eco Fighters (World) (ecofghtr)/Eco Fighters (World) (ecofghtr).json
Arcade || Exed Exes (World) (exedexes) || Other/Arcade/Exed Exes (World) (exedexes)/Exed Exes (World) (exedexes).json
Arcade || Fantasy (USA) (fantasyu) || Other/Arcade/Fantasy (USA) (fantasyu)/Fantasy (USA) (fantasyu).json
Arcade || Fantasy Zone (World) (fantzone) || Other/Arcade/Fantasy Zone (World) (fantzone)/Fantasy Zone (World) (fantzone).json
Arcade || Fantasy Zone II DX (Japan) (fantzn2x) || Other/Arcade/Fantasy Zone II DX (Japan) (fantzn2x)/Fantasy Zone II DX (Japan) (fantzn2x).json
Arcade || Fatal Fury - King of Fighters (World) (fatfury1) || Other/Arcade/Fatal Fury - King of Fighters (World) (fatfury1)/Fatal Fury - King of Fighters (World) (fatfury1).json
Arcade || Final Fight (World) (ffight) || Other/Arcade/Final Fight (World) (ffight)/Final Fight (World) (ffight).json
Arcade || Fire Truck ~ Smokey Joe (World) (firetrk) || Other/Arcade/Fire Truck ~ Smokey Joe (World) (firetrk)/Fire Truck ~ Smokey Joe (World) (firetrk).json
Arcade || Food Fight (World) (foodf) || Other/Arcade/Food Fight (World) (foodf)/Food Fight (World) (foodf).json
Arcade || Forgotten Worlds (World) (forgottn) || Other/Arcade/Forgotten Worlds (World) (forgottn)/Forgotten Worlds (World) (forgottn).json
Arcade || Galaga '88 (World) (galaga88) || Other/Arcade/Galaga '88 (World) (galaga88)/Galaga '88 (World) (galaga88).json
Arcade || Galaga (World) (galaga) || Other/Arcade/Galaga (World) (galaga)/Galaga (World) (galaga).json
Arcade || Galaxian (World) (galaxian) || Other/Arcade/Galaxian (World) (galaxian)/Galaxian (World) (galaxian).json
Arcade || Gauntlet (World) (gauntlet) || Other/Arcade/Gauntlet (World) (gauntlet)/Gauntlet (World) (gauntlet).json
Arcade || Gauntlet II (World) (gaunt2) || Other/Arcade/Gauntlet II (World) (gaunt2)/Gauntlet II (World) (gaunt2).json
Arcade || Ghosts 'n Goblins (World) (gng) || Other/Arcade/Ghosts 'n Goblins (World) (gng)/Ghosts 'n Goblins (World) (gng).json
Arcade || Ghouls 'n Ghosts (World) (ghouls) || Other/Arcade/Ghouls 'n Ghosts (World) (ghouls)/Ghouls 'n Ghosts (World) (ghouls).json
Arcade || Giga Wing (USA) (gigawing) || Other/Arcade/Giga Wing (USA) (gigawing)/Giga Wing (USA) (gigawing).json
Arcade || Gravitar (World) (gravitar) || Other/Arcade/Gravitar (World) (gravitar)/Gravitar (World) (gravitar).json
Arcade || Grobda (World) (grobda) || Other/Arcade/Grobda (World) (grobda)/Grobda (World) (grobda).json
Arcade || Guerrilla War (USA) (gwar) || Other/Arcade/Guerrilla War (USA) (gwar)/Guerrilla War (USA) (gwar).json
Arcade || Gun.Smoke (World) (gunsmoke) || Other/Arcade/Gun.Smoke (World) (gunsmoke)/Gun.Smoke (World) (gunsmoke).json
Arcade || Gyruss (World) (gyruss) || Other/Arcade/Gyruss (World) (gyruss)/Gyruss (World) (gyruss).json
Arcade || Hard Drivin' (World) (harddriv) || Other/Arcade/Hard Drivin' (World) (harddriv)/Hard Drivin' (World) (harddriv).json
Arcade || Haunted Castle (World) (hcastle) || Other/Arcade/Haunted Castle (World) (hcastle)/Haunted Castle (World) (hcastle).json
Arcade || Hyper Street Fighter II - The Anniversary Edition (USA) (hsf2) || Other/Arcade/Hyper Street Fighter II - The Anniversary Edition (USA) (hsf2)/Hyper Street Fighter II - The Anniversary Edition (USA) (hsf2).json
Arcade || I, Robot (World) (irobot) || Other/Arcade/I, Robot (World) (irobot)/I, Robot (World) (irobot).json
Arcade || Ikari III - The Rescue (World) (ikari3) || Other/Arcade/Ikari III - The Rescue (World) (ikari3)/Ikari III - The Rescue (World) (ikari3).json
Arcade || Ikari Warriors (USA) (ikari) || Other/Arcade/Ikari Warriors (USA) (ikari)/Ikari Warriors (USA) (ikari).json
Arcade || Joust (World) (joust) || Other/Arcade/Joust (World) (joust)/Joust (World) (joust).json
Arcade || Joust 2 - Survival of the Fittest (World) (joust2) || Other/Arcade/Joust 2 - Survival of the Fittest (World) (joust2)/Joust 2 - Survival of the Fittest (World) (joust2).json
Arcade || Kicker ~ Shao-lin's Road (kicker) || Other/Arcade/Kicker ~ Shao-lin's Road (kicker)/Kicker ~ Shao-lin's Road (kicker).json
Arcade || King & Balloon (USA) (kingball) || Other/Arcade/King & Balloon (USA) (kingball)/King & Balloon (USA) (kingball).json
Arcade || King of Dragons, The (World) (kod) || Other/Arcade/King of Dragons, The (World) (kod)/King of Dragons, The (World) (kod).json
Arcade || King of Fighters '94, The (World) (kof94) || Other/Arcade/King of Fighters '94, The (World) (kof94)/King of Fighters '94, The (World) (kof94).json
Arcade || King of the Monsters (World) (kotm) || Other/Arcade/King of the Monsters (World) (kotm)/King of the Monsters (World) (kotm).json
Arcade || Klax (World) (klax) || Other/Arcade/Klax (World) (klax)/Klax (World) (klax).json
Arcade || Knights of the Round (World) (knights) || Other/Arcade/Knights of the Round (World) (knights)/Knights of the Round (World) (knights).json
Arcade || Kozmik Kroozr (World) (kroozr) || Other/Arcade/Kozmik Kroozr (World) (kroozr)/Kozmik Kroozr (World) (kroozr).json
Arcade || Last Duel (USA) (lastduel) || Other/Arcade/Last Duel (USA) (lastduel)/Last Duel (USA) (lastduel).json
Arcade || Last Resort (World) (lresort) || Other/Arcade/Last Resort (World) (lresort)/Last Resort (World) (lresort).json
Arcade || Led Storm Rally 2011 (World) (leds2011) || Other/Arcade/Led Storm Rally 2011 (World) (leds2011)/Led Storm Rally 2011 (World) (leds2011).json
Arcade || Legendary Wings (USA) (lwings) || Other/Arcade/Legendary Wings (USA) (lwings)/Legendary Wings (USA) (lwings).json
Arcade || Liberator (World) (liberatr) || Other/Arcade/Liberator (World) (liberatr)/Liberator (World) (liberatr).json
Arcade || Lunar Lander (World) (llander) || Other/Arcade/Lunar Lander (World) (llander)/Lunar Lander (World) (llander).json
Arcade || Magic Sword - Heroic Fantasy (World) (msword) || Other/Arcade/Magic Sword - Heroic Fantasy (World) (msword)/Magic Sword - Heroic Fantasy (World) (msword).json
Arcade || Magician Lord (World) (maglord) || Other/Arcade/Magician Lord (World) (maglord)/Magician Lord (World) (maglord).json
Arcade || Major Havoc (World) (mhavoc) || Other/Arcade/Major Havoc (World) (mhavoc)/Major Havoc (World) (mhavoc).json
Arcade || Mappy (USA) (mappy) || Other/Arcade/Mappy (USA) (mappy)/Mappy (USA) (mappy).json
Arcade || Marble Madness (World) (marble) || Other/Arcade/Marble Madness (World) (marble)/Marble Madness (World) (marble).json
Arcade || Maze Invaders (World) (Proto) (mazeinv) || Other/Arcade/Maze Invaders (World) (Proto) (mazeinv)/Maze Invaders (World) (Proto) (mazeinv).json
Arcade || Mega Man - The Power Battle (USA) (megaman) || Other/Arcade/Mega Man - The Power Battle (USA) (megaman)/Mega Man - The Power Battle (USA) (megaman).json
Arcade || Mega Man 2 - The Power Fighters (USA) (megaman2) || Other/Arcade/Mega Man 2 - The Power Fighters (USA) (megaman2)/Mega Man 2 - The Power Fighters (USA) (megaman2).json
Arcade || Mega Twins (World) (mtwins) || Other/Arcade/Mega Twins (World) (mtwins)/Mega Twins (World) (mtwins).json
Arcade || Mercs (World) (mercs) || Other/Arcade/Mercs (World) (mercs)/Mercs (World) (mercs).json
Arcade || Metal Slug - Super Vehicle-001 (World) (mslug) || Other/Arcade/Metal Slug - Super Vehicle-001 (World) (mslug)/Metal Slug - Super Vehicle-001 (World) (mslug).json
Arcade || Metal Slug 2 - Super Vehicle-001 II (World) (mslug2) || Other/Arcade/Metal Slug 2 - Super Vehicle-001 II (World) (mslug2)/Metal Slug 2 - Super Vehicle-001 II (World) (mslug2).json
Arcade || Metal Slug 3 (World) (mslug3) || Other/Arcade/Metal Slug 3 (World) (mslug3)/Metal Slug 3 (World) (mslug3).json
Arcade || Metal Slug 4 (World) (mslug4) || Other/Arcade/Metal Slug 4 (World) (mslug4)/Metal Slug 4 (World) (mslug4).json
Arcade || Metal Slug 5 (World) (mslug5) || Other/Arcade/Metal Slug 5 (World) (mslug5)/Metal Slug 5 (World) (mslug5).json
