Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || Street Fighter III - 2nd Impact - Giant Attack (USA) (sfiii2) || Other/Arcade/Street Fighter III - 2nd Impact - Giant Attack (USA) (sfiii2)/Street Fighter III - 2nd Impact - Giant Attack (USA) (sfiii2).json
Arcade || Street Fighter III - 3rd Strike - Fight for the Future (Europe) (sfiii3) || Other/Arcade/Street Fighter III - 3rd Strike - Fight for the Future (Europe) (sfiii3)/Street Fighter III - 3rd Strike - Fight for the Future (Europe) (sfiii3).json
Arcade || Street Fighter III - New Generation (Europe) (sfiii) || Other/Arcade/Street Fighter III - New Generation (Europe) (sfiii)/Street Fighter III - New Generation (Europe) (sfiii).json
Arcade || Street Smart (USA) (streetsm) || Other/Arcade/Street Smart (USA) (streetsm)/Street Smart (USA) (streetsm).json
Arcade || Strider (USA) (strider) || Other/Arcade/Strider (USA) (strider)/Strider (USA) (strider).json
Arcade || Super Breakout (World) (sbrkout) || Other/Arcade/Super Breakout (World) (sbrkout)/Super Breakout (World) (sbrkout).json
Arcade || Super Bug (World) (superbug) || Other/Arcade/Super Bug (World) (superbug)/Super Bug (World) (superbug).json
Arcade || Super Buster Bros. (USA) (sbbros) || Other/Arcade/Super Buster Bros. (USA) (sbbros)/Super Buster Bros. (USA) (sbbros).json
Arcade || Super Cobra (World) (scobra) || Other/Arcade/Super Cobra (World) (scobra)/Super Cobra (World) (scobra).json
Arcade || Super Gem Fighter Mini Mix (USA) (sgemf) || Other/Arcade/Super Gem Fighter Mini Mix (USA) (sgemf)/Super Gem Fighter Mini Mix (USA) (sgemf).json
Arcade || Super Puzzle Fighter II Turbo (Europe) (spf2t) || Other/Arcade/Super Puzzle Fighter II Turbo (Europe) (spf2t)/Super Puzzle Fighter II Turbo (Europe) (spf2t).json
Arcade || Super Sidekicks 3 - The Next Glory (World) (ssideki3) || Other/Arcade/Super Sidekicks 3 - The Next Glory (World) (ssideki3)/Super Sidekicks 3 - The Next Glory (World) (ssideki3).json
Arcade || Super Sprint (World) (ssprint) || Other/Arcade/Super Sprint (World) (ssprint)/Super Sprint (World) (ssprint).json
Arcade || Super Street Fighter II - The New Challengers (World) (ssf2) || Other/Arcade/Super Street Fighter II - The New Challengers (World) (ssf2)/Super Street Fighter II - The New Challengers (World) (ssf2).json
Arcade || Super Street Fighter II Turbo (World) (ssf2t) || Other/Arcade/Super Street Fighter II Turbo (World) (ssf2t)/Super Street Fighter II Turbo (World) (ssf2t).json
Arcade || T.N.K III (USA) (tnk3) || Other/Arcade/T.N.K III (USA) (tnk3)/T.N.K III (USA) (tnk3).json
Arcade || Tank Force (USA) (tankfrce) || Other/Arcade/Tank Force (USA) (tankfrce)/Tank Force (USA) (tankfrce).json
Arcade || Teenage Mutant Ninja Turtles (World) (tmnt) || Other/Arcade/Teenage Mutant Ninja Turtles (World) (tmnt)/Teenage Mutant Ninja Turtles (World) (tmnt).json
Arcade || Teenage Mutant Ninja Turtles - Turtles in Time (World) (tmnt2) || Other/Arcade/Teenage Mutant Ninja Turtles - Turtles in Time (World) (tmnt2)/Teenage Mutant Ninja Turtles - Turtles in Time (World) (tmnt2).json
Arcade || Tempest (World) (tempest) || Other/Arcade/Tempest (World) (tempest)/Tempest (World) (tempest).json
Arcade || Three Wonders (World) (3wonders) || Other/Arcade/Three Wonders (World) (3wonders)/Three Wonders (World) (3wonders).json
Arcade || Thunder Cross (World) (thunderx) || Other/Arcade/Thunder Cross (World) (thunderx)/Thunder Cross (World) (thunderx).json
Arcade || Tiger Road (USA) (tigeroad) || Other/Arcade/Tiger Road (USA) (tigeroad)/Tiger Road (USA) (tigeroad).json
Arcade || Timber (World) (timber) || Other/Arcade/Timber (World) (timber)/Timber (World) (timber).json
Arcade || Time Pilot (World) (timeplt) || Other/Arcade/Time Pilot (World) (timeplt)/Time Pilot (World) (timeplt).json
Arcade || Time Soldiers (USA) (timesold) || Other/Arcade/Time Soldiers (USA) (timesold)/Time Soldiers (USA) (timesold).json
Arcade || Toobin' (World) (toobin) || Other/Arcade/Toobin' (World) (toobin)/Toobin' (World) (toobin).json
Arcade || Top Hunter - Roddy & Cathy (World) (tophuntr) || Other/Arcade/Top Hunter - Roddy & Cathy (World) (tophuntr)/Top Hunter - Roddy & Cathy (World) (tophuntr).json
Arcade || Total Carnage (World) (totcam) || Other/Arcade/Total Carnage (World) (totcam)/Total Carnage (World) (totcam).json
Arcade || Tower of Druaga, The (World) (todruaga) || Other/Arcade/Tower of Druaga, The (World) (todruaga)/Tower of Druaga, The (World) (todruaga).json
Arcade || Trojan (USA) (trojan) || Other/Arcade/Trojan (USA) (trojan)/Trojan (USA) (trojan).json
Arcade || TwinBee (World) (twinbee) || Other/Arcade/TwinBee (World) (twinbee)/TwinBee (World) (twinbee).json
Arcade || Typhoon (World) (ajax) || Other/Arcade/Typhoon (World) (ajax)/Typhoon (World) (ajax).json
Arcade || Vampire Savior - The Lord of Vampire (Europe) (vsav) || Other/Arcade/Vampire Savior - The Lord of Vampire (Europe) (vsav)/Vampire Savior - The Lord of Vampire (Europe) (vsav).json
Arcade || Vampire Savior 2 - The Lord of Vampire (Japan) (vsav2) || Other/Arcade/Vampire Savior 2 - The Lord of Vampire (Japan) (vsav2)/Vampire Savior 2 - The Lord of Vampire (Japan) (vsav2).json
Arcade || Varth - Operation Thunderstorm (World) (varth) || Other/Arcade/Varth - Operation Thunderstorm (World) (varth)/Varth - Operation Thunderstorm (World) (varth).json
Arcade || Victory Road (World) (victroad) || Other/Arcade/Victory Road (World) (victroad)/Victory Road (World) (victroad).json
Arcade || Vindicators (World) (vindictr) || Other/Arcade/Vindicators (World) (vindictr)/Vindicators (World) (vindictr).json
Arcade || Vulcan Venture (World) (vulcan) || Other/Arcade/Vulcan Venture (World) (vulcan)/Vulcan Venture (World) (vulcan).json
Arcade || Vulgus (World) (vulgus) || Other/Arcade/Vulgus (World) (vulgus)/Vulgus (World) (vulgus).json
Arcade || Wacko (World) (wacko) || Other/Arcade/Wacko (World) (wacko)/Wacko (World) (wacko).json
Arcade || Warlords! (World) (warlords) || Other/Arcade/Warlords! (World) (warlords)/Warlords! (World) (warlords).json
Arcade || Warriors of Fate (World) (wof) || Other/Arcade/Warriors of Fate (World) (wof)/Warriors of Fate (World) (wof).json
Arcade || Wizard of Wor (World) (wow) || Other/Arcade/Wizard of Wor (World) (wow)/Wizard of Wor (World) (wow).json
Arcade || World Heroes (World) (wh1) || Other/Arcade/World Heroes (World) (wh1)/World Heroes (World) (wh1).json
Arcade || World Wars (World) (worldwar) || Other/Arcade/World Wars (World) (worldwar)/World Wars (World) (worldwar).json
Arcade || Xenophobe (World) (xenophob) || Other/Arcade/Xenophobe (World) (xenophob)/Xenophobe (World) (xenophob).json
Arcade || Xevious (World) (xevious) || Other/Arcade/Xevious (World) (xevious)/Xevious (World) (xevious).json
Arcade || Xybots (World) (xybots) || Other/Arcade/Xybots (World) (xybots)/Xybots (World) (xybots).json
Arcade || Yie Ar Kung-Fu (World) (yiear) || Other/Arcade/Yie Ar Kung-Fu (World) (yiear)/Yie Ar Kung-Fu (World) (yiear).json
Arcade || Zaxxon (World) (zaxxon) || Other/Arcade/Zaxxon (World) (zaxxon)/Zaxxon (World) (zaxxon).json
