NEC TurboGrafx-16 & PC-Engine || Dungeon Explorer (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Dungeon Explorer (Japan)/Dungeon Explorer (Japan).json
NEC TurboGrafx-16 & PC-Engine || Dungeon Explorer (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Dungeon Explorer (USA)/Dungeon Explorer (USA).json
NEC TurboGrafx-16 & PC-Engine || Fantasy Zone (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Fantasy Zone (Japan)/Fantasy Zone (Japan).json
NEC TurboGrafx-16 & PC-Engine || Fantasy Zone (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Fantasy Zone (USA)/Fantasy Zone (USA).json
NEC TurboGrafx-16 & PC-Engine || Final Soldier (Japan) (En) || Other/NEC TurboGrafx-16 & PC-Engine/Final Soldier (Japan) (En)/Final Soldier (Japan) (En).json
NEC TurboGrafx-16 & PC-Engine || Galaga '88 (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Galaga '88 (Japan)/Galaga '88 (Japan).json
NEC TurboGrafx-16 & PC-Engine || Genpei Toumaden (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Genpei Toumaden (Japan)/Genpei Toumaden (Japan).json
NEC TurboGrafx-16 & PC-Engine || Gradius (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Gradius (Japan)/Gradius (Japan).json
NEC TurboGrafx-16 & PC-Engine || J.J. & Jeff (USA) || Other/NEC TurboGrafx-16 & PC-Engine/J.J. & Jeff (USA)/J.J. & Jeff (USA).json
NEC TurboGrafx-16 & PC-Engine || Jaseiken Necromancer (Japan) || Other/NEC TurboGrafx-16 & PC-Engine/Jaseiken Necromancer (Japan)/Jaseiken Necromancer (Japan).json
NEC TurboGrafx-16 & PC-Engine || Keith Courage in Alpha Zones (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Keith Courage in Alpha Zones (USA)/Keith Courage in Alpha Zones (USA).json
NEC TurboGrafx-16 & PC-Engine || Military Madness (USA) || Other/NEC TurboGrafx-16 & PC-Engine/Military Madness (USA)/Military Madness (USA).json
